fwd_iat_mean,fwd_iat_max,fwd_iat_min,bwd_iat_mean,bwd_iat_max,bwd_iat_min,active_mean,active_std,active_max,active_min,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4359227.786,10300000.0,179.0,5543480.455,10300000.0,49.0,139860.5,219114.4918,587126.0,50220.0,0
8.5,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,2.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0
175868.2222,1053494.0,48.0,172383.0,1077773.0,1.0,0.0,0.0,0.0,0.0,0
3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,3.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0
11800000.0,58500000.0,23765.0,11800000.0,58800000.0,4.0,444382.5,313545.996,666093.0,222672.0,0
1.0,1.0,1.0,48.0,48.0,48.0,0.0,0.0,0.0,0.0,0
1492.0,1492.0,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16600000.0,99400000.0,1.0,26737.16667,149163.0,1.0,5.0,0.0,5.0,5.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2907551.5,5791471.0,23632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3343.0,6683.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0
24600000.0,98300000.0,2.0,16400000.0,98300000.0,47.0,13008.0,0.0,13008.0,13008.0,4
3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0
3.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0
480693.5714,2003777.0,324.0,1340669.25,5005093.0,16.0,0.0,0.0,0.0,0.0,3
5700.0,11397.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
48.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.0,4.0,4.0,48.0,48.0,48.0,0.0,0.0,0.0,0.0,0
2924046.5,5824817.0,23276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
139454.1429,613836.0,170.0,171600.6,732997.0,200.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,303937.0,303937.0,303937.0,0.0,0.0,0.0,0.0,0
95043.0,95043.0,95043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,47.0,47.0,47.0,0.0,0.0,0.0,0.0,0
25107503.0,25107503.0,25107503.0,25071330.0,25071330.0,25071330.0,66628.0,0.0,66628.0,66628.0,0
10100000.0,80900000.0,224.0,29487.2,135154.0,46.0,1506.0,0.0,1506.0,1506.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,3.0,3.0,48.0,48.0,48.0,0.0,0.0,0.0,0.0,0
816166.625,3296553.0,18.0,731690.0714,3672714.0,3.0,0.0,0.0,0.0,0.0,1
3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0
3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0
3.0,3.0,3.0,48.0,48.0,48.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29386.6,39055.0,9190.0,29840.2,60512.0,49.0,0.0,0.0,0.0,0.0,0
